iter	Passed	Remaining
0	3	3817
1	7	3873
2	9	3269
3	11	2933
4	13	2694
5	15	2520
6	16	2382
7	18	2284
8	20	2266
9	21	2161
10	23	2096
11	24	2023
12	25	1961
13	27	1903
14	28	1857
15	29	1822
16	30	1782
17	31	1742
18	33	1705
19	34	1680
20	35	1668
21	36	1643
22	38	1619
23	39	1598
24	40	1577
25	41	1561
26	42	1541
27	43	1519
28	44	1503
29	46	1487
30	47	1474
31	48	1461
32	50	1492
33	52	1499
34	54	1495
35	55	1487
36	56	1476
37	57	1465
38	59	1456
39	60	1444
40	61	1435
41	62	1425
42	63	1417
43	65	1418
44	66	1409
45	68	1410
46	69	1405
47	70	1398
48	71	1388
49	72	1383
50	74	1377
51	75	1368
52	76	1363
53	77	1356
54	78	1350
55	79	1344
56	81	1340
57	82	1335
58	83	1335
59	84	1330
60	86	1325
61	87	1319
62	88	1316
63	89	1312
64	90	1307
65	92	1303
66	93	1298
67	95	1309
68	97	1310
69	98	1308
70	100	1314
71	101	1309
72	102	1304
73	103	1300
74	105	1295
75	106	1289
76	107	1286
77	108	1283
78	110	1285
79	112	1289
80	113	1286
81	114	1282
82	115	1281
83	117	1281
84	118	1278
85	120	1276
86	121	1275
87	122	1273
88	124	1274
89	125	1271
90	126	1266
91	128	1265
92	129	1261
93	130	1257
94	132	1258
95	133	1255
96	134	1251
97	135	1248
98	137	1247
99	138	1244
100	139	1241
101	141	1241
102	142	1240
103	143	1238
104	145	1237
105	146	1234
106	147	1231
107	148	1229
108	150	1226
109	151	1222
110	152	1218
111	153	1215
112	154	1211
113	155	1208
114	156	1204
115	157	1200
116	158	1197
117	159	1193
118	160	1190
119	161	1187
120	162	1183
121	164	1183
122	166	1184
123	167	1182
124	168	1179
125	169	1176
126	170	1173
127	171	1169
128	172	1166
129	173	1163
130	174	1160
131	175	1157
132	177	1154
133	178	1150
134	179	1147
135	180	1148
136	181	1145
137	182	1142
138	183	1139
139	185	1136
140	186	1133
141	187	1130
142	188	1127
143	189	1125
144	190	1122
145	191	1119
146	192	1116
147	193	1113
148	195	1114
149	196	1115
150	198	1113
151	199	1110
152	200	1107
153	201	1105
154	202	1102
155	203	1099
156	204	1097
157	205	1094
158	206	1092
159	207	1090
160	208	1087
161	209	1085
162	210	1083
163	212	1084
164	213	1082
165	215	1080
166	216	1077
167	217	1075
168	218	1075
169	220	1075
170	221	1073
