iter	Passed	Remaining
0	464	464477
1	653	326104
2	796	264673
3	923	229930
4	1114	221715
5	1279	211958
6	1417	201132
7	1553	192644
8	1672	184163
9	1782	176459
10	1884	169435
11	1983	163327
12	2079	157889
13	2170	152899
14	2262	148583
15	2351	144605
16	2434	140781
17	2516	137300
18	2606	134600
19	2711	132883
20	2797	130422
21	2886	128321
22	2967	126058
23	3044	123795
24	3123	121799
25	3207	120155
26	3295	118745
27	3375	117176
28	3458	115795
29	3543	114578
30	3631	113512
31	3715	112401
32	3801	111392
33	3884	110378
34	3970	109484
35	4055	108606
36	4134	107599
37	4212	106648
38	4293	105807
39	4373	104963
40	4459	104303
41	4539	103533
42	4633	103113
43	4711	102367
44	4789	101645
45	4870	101011
46	4949	100358
47	5027	99712
48	5105	99080
49	5184	98511
50	5263	97944
51	5347	97492
52	5427	96970
53	5505	96441
54	5582	95921
55	5666	95528
56	5748	95104
57	5829	94674
58	5910	94266
59	5991	93866
60	6069	93434
61	6150	93053
62	6235	92735
63	6316	92380
64	6403	92112
65	6482	91744
66	6561	91377
67	6644	91063
68	6733	90854
69	6812	90511
70	6906	90368
71	6988	90079
72	7068	89763
73	7148	89455
74	7230	89176
75	7311	88889
76	7395	88646
77	7478	88402
78	7567	88222
79	7651	87997
80	7738	87801
81	7826	87619
82	7916	87467
83	8005	87295
84	8085	87038
85	8165	86784
86	8249	86576
87	8335	86390
88	8421	86198
89	8504	85994
90	8589	85803
91	8677	85640
92	8758	85422
93	8848	85285
94	8935	85119
95	9018	84922
96	9105	84761
97	9190	84585
98	9274	84403
99	9358	84223
100	9442	84044
101	9528	83888
102	9627	83846
103	9708	83645
104	9790	83454
105	9871	83252
106	9952	83064
107	10035	82888
108	10115	82688
109	10194	82483
110	10274	82285
111	10354	82095
112	10433	81899
113	10514	81717
114	10595	81537
115	10676	81362
116	10756	81178
117	10835	80991
118	10914	80805
119	10994	80624
120	11074	80449
121	11151	80252
122	11230	80072
123	11309	79895
124	11389	79729
125	11470	79565
126	11551	79402
127	11632	79246
128	11717	79113
129	11810	79042
130	11893	78895
131	11974	78739
132	12069	78677
133	12162	78601
134	12252	78503
135	12336	78369
136	12419	78231
137	12498	78069
138	12578	77915
139	12660	77770
140	12742	77628
141	12823	77485
142	12919	77423
143	13011	77344
144	13101	77250
145	13181	77104
146	13268	76991
147	13351	76861
148	13436	76741
149	13522	76629
150	13613	76542
151	13699	76427
152	13784	76308
153	13874	76219
154	13958	76095
155	14045	75987
156	14131	75878
157	14216	75759
158	14298	75627
159	14377	75484
160	14461	75363
161	14543	75233
162	14630	75127
163	14716	75015
164	14801	74903
165	14885	74785
166	14969	74666
167	15055	74562
168	15142	74456
169	15223	74325
170	15303	74190
171	15380	74041
172	15461	73910
173	15542	73779
174	15641	73738
175	15722	73608
176	15802	73477
177	15892	73390
178	15979	73290
179	16065	73185
180	16154	73095
181	16242	73000
182	16328	72899
183	16415	72800
184	16503	72705
185	16587	72593
186	16673	72489
187	16756	72372
188	16835	72242
189	16915	72113
190	16993	71976
191	17073	71849
192	17164	71772
193	17249	71663
194	17332	71553
195	17414	71435
196	17496	71316
197	17578	71203
198	17667	71114
199	17752	71010
200	17839	70913
201	17923	70806
202	18004	70688
203	18084	70565
204	18180	70504
205	18264	70397
206	18343	70274
207	18423	70151
208	18505	70035
209	18589	69930
210	18677	69840
211	18758	69725
212	18842	69619
213	18926	69516
214	19013	69421
215	19099	69323
216	19187	69235
217	19269	69124
218	19351	69011
219	19430	68890
220	19511	68776
221	19595	68671
222	19679	68568
223	19758	68449
224	19859	68406
225	19945	68309
226	20025	68191
227	20107	68084
228	20192	67982
229	20274	67875
230	20360	67778
231	20456	67716
232	20541	67620
233	20622	67509
234	20704	67398
235	20791	67309
236	20877	67212
237	20959	67105
238	21047	67016
239	21133	66924
240	21217	66820
241	21299	66715
242	21383	66614
243	21467	66514
244	21553	66420
245	21639	66324
246	21722	66222
247	21805	66120
248	21892	66030
249	21978	65936
250	22063	65838
251	22147	65740
252	22232	65641
253	22315	65540
254	22394	65427
255	22473	65314
256	22560	65222
257	22654	65152
258	22733	65039
259	22813	64931
260	22894	64823
261	22976	64719
262	23061	64623
263	23146	64529
264	23228	64426
265	23310	64322
266	23394	64224
267	23487	64152
268	23575	64065
269	23665	63985
270	23750	63888
271	23831	63785
272	23922	63705
273	24012	63624
274	24094	63521
275	24176	63420
276	24261	63325
277	24346	63230
278	24431	63136
279	24514	63036
280	24599	62942
281	24686	62854
282	24769	62754
283	24856	62665
284	24939	62568
285	25026	62478
286	25114	62392
287	25198	62296
288	25281	62197
289	25358	62085
290	25445	61996
291	25547	61945
292	25639	61868
293	25735	61800
294	25828	61725
295	25918	61643
296	26004	61553
297	26090	61461
298	26170	61357
299	26251	61252
300	26332	61150
301	26409	61039
302	26490	60936
303	26570	60833
304	26652	60732
305	26733	60631
306	26822	60547
307	26912	60465
308	26991	60359
309	27076	60267
310	27155	60160
311	27243	60075
312	27331	59988
313	27413	59891
314	27499	59799
315	27581	59702
316	27667	59611
317	27748	59511
318	27838	59428
319	27916	59323
320	28001	59230
321	28083	59132
322	28171	59046
323	28256	58954
324	28340	58860
325	28425	58769
326	28512	58682
327	28597	58589
328	28687	58509
329	28771	58415
330	28851	58313
331	28936	58222
332	29020	58128
333	29103	58031
334	29181	57928
335	29261	57826
336	29343	57728
337	29423	57628
338	29505	57530
339	29593	57445
340	29686	57370
341	29772	57281
342	29863	57202
343	29946	57107
344	30033	57020
345	30120	56933
346	30211	56853
347	30295	56761
348	30383	56675
349	30465	56579
350	30549	56485
351	30636	56399
352	30725	56315
353	30815	56233
354	30912	56165
355	31009	56095
356	31095	56006
357	31180	55914
358	31263	55821
359	31348	55730
360	31435	55643
361	31526	55563
362	31619	55486
363	31705	55397
364	31785	55297
365	31866	55200
366	31949	55105
367	32053	55048
368	32141	54963
369	32223	54867
370	32314	54786
371	32401	54698
372	32482	54601
373	32568	54512
374	32652	54421
375	32736	54327
376	32824	54243
377	32905	54145
378	32986	54048
379	33065	53949
380	33149	53857
381	33229	53757
382	33327	53689
383	33409	53594
384	33492	53500
385	33571	53400
386	33651	53303
387	33734	53210
388	33816	53116
389	33898	53021
390	33980	52926
391	34063	52832
392	34147	52741
393	34229	52647
394	34311	52553
395	34395	52461
396	34476	52365
397	34558	52271
398	34637	52172
399	34717	52076
400	34798	51980
401	34879	51885
402	34960	51789
403	35041	51695
404	35121	51598
405	35205	51507
406	35292	51421
407	35377	51331
408	35464	51246
409	35547	51153
410	35633	51065
411	35716	50974
412	35800	50883
413	35885	50795
414	35968	50703
415	36046	50604
416	36129	50511
417	36211	50418
418	36293	50325
419	36379	50238
420	36458	50141
421	36544	50054
422	36640	49979
423	36723	49888
424	36801	49790
425	36882	49696
426	36964	49603
427	37041	49504
428	37121	49408
429	37204	49317
430	37285	49223
431	37367	49131
432	37449	49038
433	37531	48946
434	37610	48850
435	37692	48757
436	37773	48664
437	37853	48569
438	37934	48476
439	38015	48382
440	38096	48289
441	38178	48198
442	38259	48105
443	38340	48011
444	38420	47917
445	38504	47828
446	38585	47735
447	38666	47642
448	38744	47546
449	38825	47453
450	38906	47360
451	38984	47264
452	39064	47170
453	39147	47080
454	39230	46990
455	39311	46898
456	39394	46808
457	39477	46718
458	39561	46629
459	39642	46536
460	39725	46446
461	39806	46354
462	39885	46260
463	39966	46168
464	40048	46077
465	40131	45987
466	40210	45893
467	40295	45805
468	40382	45721
469	40471	45638
470	40561	45556
471	40657	45481
472	40754	45406
473	40853	45334
474	40951	45262
475	41059	45200
476	41161	45131
477	41266	45065
478	41374	45002
479	41480	44937
480	41582	44867
481	41688	44802
482	41802	44745
483	41911	44682
484	42026	44626
485	42140	44567
486	42251	44507
487	42357	44440
488	42469	44380
489	42579	44317
490	42692	44257
491	42803	44195
492	42917	44135
493	43025	44070
494	43136	44008
495	43247	43944
496	43365	43888
497	43480	43829
498	43594	43768
499	43706	43706
500	43819	43644
501	43936	43586
502	44048	43523
503	44159	43458
504	44273	43397
505	44390	43337
506	44510	43280
507	44621	43216
508	44738	43156
509	44858	43099
510	44976	43039
511	45090	42976
512	45201	42910
513	45316	42847
514	45435	42789
515	45559	42734
516	45680	42676
517	45795	42612
518	45908	42547
519	46021	42481
520	46146	42426
521	46264	42364
522	46380	42301
523	46497	42238
524	46613	42174
525	46730	42110
526	46844	42044
527	46966	41984
528	47088	41925
529	47206	41862
530	47314	41789
531	47427	41722
532	47536	41649
533	47650	41582
534	47766	41516
535	47875	41444
536	47986	41373
537	48094	41300
538	48199	41224
539	48304	41148
540	48407	41070
541	48506	40988
542	48612	40913
543	48715	40834
544	48821	40758
545	48925	40681
546	49033	40606
547	49137	40529
548	49238	40449
549	49347	40375
550	49454	40299
551	49562	40224
552	49674	40152
553	49726	40032
554	49837	39959
555	49952	39889
556	50075	39826
557	50202	39766
558	50331	39707
559	50445	39635
560	50563	39567
561	50702	39515
562	50828	39453
563	50944	39382
564	51058	39310
565	51192	39253
566	51310	39184
567	51421	39109
568	51533	39035
569	51650	38964
570	51764	38891
571	51881	38820
572	51996	38748
573	52114	38677
574	52235	38609
575	52352	38537
