iter	Passed	Remaining
0	158	158332
1	171	85779
2	185	61516
3	195	48651
4	212	42272
5	221	36691
6	230	32674
7	238	29622
8	248	27389
9	260	25777
10	267	24086
11	276	22724
12	283	21521
13	293	20695
14	301	19767
15	309	19047
16	319	18447
17	327	17857
18	334	17244
19	341	16721
20	347	16222
21	355	15810
22	362	15385
23	370	15078
24	377	14715
25	384	14388
26	393	14192
27	405	14066
28	412	13795
29	418	13517
30	424	13262
31	430	13026
32	438	12840
33	444	12617
34	450	12410
35	455	12206
36	462	12047
37	470	11912
38	481	11872
39	489	11743
40	495	11579
41	503	11485
42	511	11386
43	520	11300
44	526	11180
45	532	11045
46	539	10932
47	545	10821
48	552	10725
49	560	10650
50	567	10551
51	573	10456
52	580	10376
53	587	10299
54	594	10212
55	602	10149
56	607	10048
57	613	9962
58	619	9879
59	625	9794
60	632	9732
61	637	9650
62	643	9566
63	650	9512
64	656	9440
65	662	9379
66	669	9322
67	675	9253
68	681	9196
69	687	9133
70	693	9073
71	699	9020
72	705	8964
73	712	8917
74	718	8860
75	723	8799
76	731	8765
77	737	8715
78	743	8669
79	749	8623
80	756	8580
81	764	8556
82	769	8504
83	775	8456
84	781	8415
85	788	8376
86	795	8343
87	800	8294
88	806	8254
89	813	8222
90	819	8181
91	824	8139
92	831	8108
93	837	8069
94	845	8050
95	852	8027
96	860	8013
97	868	7993
98	876	7973
99	883	7955
100	890	7922
101	897	7903
102	905	7882
103	913	7868
104	919	7839
105	926	7815
106	932	7781
107	939	7756
108	945	7730
109	951	7700
110	959	7688
111	965	7656
112	972	7629
113	979	7611
114	986	7590
115	993	7570
116	999	7543
117	1006	7521
118	1012	7499
119	1018	7468
120	1025	7447
121	1031	7422
122	1037	7396
123	1044	7377
124	1051	7362
125	1060	7353
126	1067	7334
127	1074	7317
128	1082	7311
129	1091	7301
130	1099	7294
131	1107	7280
132	1113	7260
133	1120	7239
134	1126	7215
135	1132	7195
136	1138	7172
137	1144	7149
138	1149	7121
139	1156	7104
140	1163	7085
141	1168	7060
142	1175	7047
143	1181	7024
144	1187	7003
145	1193	6982
146	1200	6966
147	1206	6947
148	1212	6926
149	1219	6908
150	1225	6889
151	1231	6869
152	1237	6852
153	1244	6836
154	1250	6818
155	1257	6804
156	1263	6784
157	1269	6766
158	1276	6751
159	1282	6735
160	1289	6719
161	1295	6703
162	1303	6691
163	1309	6675
164	1315	6659
165	1322	6645
166	1328	6627
167	1334	6608
168	1339	6587
169	1345	6570
170	1352	6555
171	1358	6538
172	1364	6522
173	1370	6507
174	1377	6491
175	1382	6472
176	1389	6460
177	1394	6441
178	1401	6426
179	1407	6410
180	1412	6392
181	1420	6383
182	1426	6366
183	1432	6351
184	1438	6336
185	1443	6318
186	1450	6308
187	1457	6293
188	1462	6275
189	1468	6260
190	1474	6243
191	1479	6227
192	1486	6216
193	1492	6201
194	1498	6185
195	1504	6172
196	1509	6154
197	1515	6140
198	1521	6124
199	1527	6110
200	1533	6096
201	1539	6081
202	1545	6066
203	1552	6056
204	1557	6040
205	1564	6031
206	1570	6015
207	1576	6002
208	1582	5988
209	1588	5974
210	1593	5959
211	1600	5949
212	1606	5936
213	1613	5925
214	1620	5917
215	1627	5908
216	1634	5896
217	1640	5883
218	1646	5870
219	1651	5856
220	1658	5844
221	1664	5831
222	1669	5816
223	1675	5804
224	1681	5793
225	1687	5779
226	1693	5767
227	1700	5756
228	1705	5742
229	1711	5731
230	1717	5717
231	1723	5704
232	1729	5692
233	1735	5680
234	1740	5665
235	1746	5653
236	1751	5640
237	1757	5627
238	1763	5615
239	1769	5602
240	1775	5590
241	1781	5578
242	1787	5569
243	1793	5558
244	1800	5547
245	1806	5535
246	1811	5522
247	1817	5511
248	1822	5497
249	1829	5487
250	1834	5475
251	1840	5464
252	1846	5452
253	1852	5442
254	1859	5431
255	1864	5419
256	1870	5407
257	1876	5396
258	1882	5385
259	1888	5374
260	1894	5363
261	1899	5351
262	1905	5338
263	1911	5328
264	1916	5316
265	1923	5306
266	1928	5294
267	1934	5283
268	1941	5274
269	1946	5264
270	1952	5252
271	1959	5243
272	1964	5231
273	1970	5220
274	1976	5210
275	1982	5199
276	1987	5188
277	1993	5177
278	1999	5166
279	2005	5156
280	2011	5146
281	2016	5134
282	2022	5123
283	2028	5113
284	2033	5102
285	2039	5092
286	2044	5080
287	2050	5068
288	2056	5058
289	2061	5046
290	2067	5036
291	2072	5025
292	2078	5014
293	2083	5003
294	2089	4993
295	2095	4984
296	2102	4975
297	2108	4968
298	2115	4958
299	2121	4950
300	2128	4941
301	2133	4930
302	2139	4920
303	2144	4910
304	2150	4900
305	2156	4890
306	2161	4878
307	2167	4869
308	2172	4858
309	2177	4847
310	2184	4839
311	2189	4828
312	2195	4818
313	2201	4809
314	2207	4799
315	2212	4790
316	2219	4781
317	2225	4771
318	2231	4762
319	2236	4753
320	2242	4743
321	2248	4734
322	2254	4725
323	2260	4716
324	2266	4707
325	2273	4700
326	2279	4690
327	2285	4682
328	2290	4671
329	2296	4661
330	2301	4652
331	2307	4641
332	2312	4631
333	2318	4623
334	2324	4614
335	2329	4604
336	2336	4597
337	2342	4587
338	2348	4579
339	2354	4570
340	2360	4561
341	2366	4552
342	2371	4542
343	2376	4532
344	2383	4525
345	2389	4515
346	2394	4506
347	2400	4496
348	2405	4487
349	2412	4480
350	2419	4473
351	2425	4464
352	2431	4455
353	2437	4447
354	2443	4439
355	2450	4432
356	2455	4423
357	2462	4416
358	2468	4407
359	2474	4399
360	2481	4391
361	2487	4383
362	2493	4375
363	2500	4368
364	2506	4361
365	2513	4353
366	2519	4345
367	2525	4337
368	2532	4330
369	2537	4321
370	2543	4312
371	2549	4304
372	2555	4295
373	2561	4287
374	2566	4278
375	2572	4269
376	2579	4262
377	2584	4253
378	2590	4245
379	2597	4237
380	2603	4229
381	2610	4222
382	2616	4214
383	2621	4205
384	2627	4197
385	2633	4188
386	2638	4179
387	2644	4171
388	2650	4163
389	2656	4154
390	2662	4146
391	2667	4138
392	2673	4128
393	2679	4120
394	2685	4112
395	2691	4104
396	2697	4096
397	2702	4087
398	2709	4081
399	2716	4074
400	2722	4066
401	2727	4058
402	2734	4050
403	2741	4044
404	2747	4036
405	2753	4028
406	2760	4021
407	2765	4013
408	2771	4005
409	2778	3998
410	2784	3989
411	2790	3982
412	2796	3973
413	2801	3965
414	2807	3957
415	2813	3949
416	2819	3941
417	2825	3934
418	2832	3927
419	2838	3919
420	2844	3912
421	2851	3905
422	2857	3897
423	2863	3889
424	2869	3881
425	2874	3873
426	2880	3865
427	2886	3857
428	2892	3850
429	2898	3841
430	2906	3836
431	2913	3830
432	2920	3824
433	2926	3816
434	2933	3809
435	2938	3801
436	2944	3793
437	2949	3784
438	2955	3777
439	2962	3770
